text	curie	name	predicate	provenance	source
GOBP_LABYRINTHINE_LAYER_DEVELOPMENT	msigdb:M10149	GOBP_LABYRINTHINE_LAYER_DEVELOPMENT	rdfs:label		msigdb
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	msigdb:M1015	REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	rdfs:label		msigdb
LI_CISPLATIN_RESISTANCE_DN	msigdb:M10150	LI_CISPLATIN_RESISTANCE_DN	rdfs:label	pubmed:17072341	msigdb
GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION	msigdb:M10151	GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION	rdfs:label		msigdb
CLAUS_PGR_POSITIVE_MENINGIOMA_UP	msigdb:M10153	CLAUS_PGR_POSITIVE_MENINGIOMA_UP	rdfs:label	pubmed:18172325	msigdb
SA_G2_AND_M_PHASES	msigdb:M10154	SA_G2_AND_M_PHASES	rdfs:label		msigdb
chr4q25	msigdb:M10155	chr4q25	rdfs:label		msigdb
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP	msigdb:M10156	BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP	rdfs:label	pubmed:15688035	msigdb
LEE_SP4_THYMOCYTE	msigdb:M10158	LEE_SP4_THYMOCYTE	rdfs:label	pubmed:15210650	msigdb
REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS	msigdb:M1016	REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS	rdfs:label		msigdb
GOBP_CERAMIDE_CATABOLIC_PROCESS	msigdb:M10160	GOBP_CERAMIDE_CATABOLIC_PROCESS	rdfs:label		msigdb
GOBP_EXCRETION	msigdb:M10162	GOBP_EXCRETION	rdfs:label		msigdb
GOBP_DIGESTION	msigdb:M10163	GOBP_DIGESTION	rdfs:label		msigdb
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	msigdb:M10164	GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	rdfs:label		msigdb
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP	msigdb:M10165	TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP	rdfs:label	pubmed:17389037	msigdb
MYAATNNNNNNNGGC_UNKNOWN	msigdb:M10166	MYAATNNNNNNNGGC_UNKNOWN	rdfs:label	pubmed:15735639	msigdb
MODULE_97	msigdb:M10167	MODULE_97	rdfs:label		msigdb
GOBP_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	msigdb:M10168	GOBP_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	rdfs:label		msigdb
WU_APOPTOSIS_BY_CDKN1A_VIA_TP53	msigdb:M10169	WU_APOPTOSIS_BY_CDKN1A_VIA_TP53	rdfs:label	pubmed:12138103	msigdb
REACTOME_DNA_REPLICATION	msigdb:M1017	REACTOME_DNA_REPLICATION	rdfs:label		msigdb
GOBP_HINDBRAIN_DEVELOPMENT	msigdb:M10170	GOBP_HINDBRAIN_DEVELOPMENT	rdfs:label		msigdb
GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS	msigdb:M10171	GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS	rdfs:label		msigdb
GOBP_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	msigdb:M10173	GOBP_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	rdfs:label		msigdb
GOBP_ETHER_METABOLIC_PROCESS	msigdb:M10178	GOBP_ETHER_METABOLIC_PROCESS	rdfs:label		msigdb
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	msigdb:M1018	REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	rdfs:label		msigdb
GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	msigdb:M10180	GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	rdfs:label		msigdb
MODULE_416	msigdb:M10181	MODULE_416	rdfs:label		msigdb
BIOCARTA_RELA_PATHWAY	msigdb:M10183	BIOCARTA_RELA_PATHWAY	rdfs:label		msigdb
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_UP	msigdb:M10184	TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_UP	rdfs:label	pubmed:17898786	msigdb
GOBP_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	msigdb:M10186	GOBP_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	rdfs:label		msigdb
REACTOME_SIGNALING_BY_NOTCH	msigdb:M10189	REACTOME_SIGNALING_BY_NOTCH	rdfs:label		msigdb
MODULE_52	msigdb:M10190	MODULE_52	rdfs:label		msigdb
GCM_MAP4K4	msigdb:M10191	GCM_MAP4K4	rdfs:label		msigdb
GOBP_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT	msigdb:M10192	GOBP_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT	rdfs:label		msigdb
GOBP_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY	msigdb:M10193	GOBP_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY	rdfs:label		msigdb
WILLIAMS_ESR1_TARGETS_DN	msigdb:M10196	WILLIAMS_ESR1_TARGETS_DN	rdfs:label	pubmed:17700529	msigdb
MODULE_92	msigdb:M10197	MODULE_92	rdfs:label		msigdb
FUNG_IL2_SIGNALING_2	msigdb:M10198	FUNG_IL2_SIGNALING_2	rdfs:label	pubmed:15735688	msigdb
E2F_Q4_01	msigdb:M102	E2F_Q4_01	rdfs:label		msigdb
GOBP_N_GLYCAN_PROCESSING	msigdb:M10200	GOBP_N_GLYCAN_PROCESSING	rdfs:label		msigdb
TSUNODA_CISPLATIN_RESISTANCE_UP	msigdb:M10202	TSUNODA_CISPLATIN_RESISTANCE_UP	rdfs:label	pubmed:15608674	msigdb
GOBP_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT	msigdb:M10203	GOBP_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT	rdfs:label		msigdb
GOBP_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	msigdb:M10204	GOBP_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	rdfs:label		msigdb
GOBP_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY	msigdb:M10205	GOBP_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY	rdfs:label		msigdb
RRAGTTGT_UNKNOWN	msigdb:M10206	RRAGTTGT_UNKNOWN	rdfs:label	pubmed:15735639	msigdb
GOBP_MEMBRANE_DEPOLARIZATION	msigdb:M10207	GOBP_MEMBRANE_DEPOLARIZATION	rdfs:label		msigdb
GOBP_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION	msigdb:M10208	GOBP_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION	rdfs:label		msigdb
