text	curie	name	predicate	provenance	source
PP2BB-CANB2-CALM complex	complexportal:CPX-1002	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM1:PPP3CB:PPP3R2	complexportal:CPX-1002	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
Protein phosphatase 3 complex	complexportal:CPX-1002	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
PP2B complex	complexportal:CPX-1002	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
Protein phosphatase 2B complex	complexportal:CPX-1002	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
CnA-CnB-Calm complex	complexportal:CPX-1002	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM2:PPP3CB:PPP3R2	complexportal:CPX-1002	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM3:PPP3CB:PPP3R2	complexportal:CPX-1002	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
Calcineurin-Calmodulin complex, beta-R2 variant	complexportal:CPX-1002	Calcineurin-Calmodulin complex, beta-R2 variant	rdfs:label	pubmed:11015619,pubmed:11123943,pubmed:15757646,pubmed:17640527,pubmed:18296442,pubmed:22343722,pubmed:22688515,pubmed:27597899,pubmed:8631904,pubmed:9660947	complexportal
Peroxisomal PEX13-PEX14 docking complex	complexportal:CPX-10021	Peroxisomal PEX13-PEX14 docking complex	rdfs:label	pubmed:20154681,pubmed:37165185,pubmed:38632234	complexportal
PP2BA-CANB1-CALM complex	complexportal:CPX-1003	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Protein phosphatase 2B complex	complexportal:CPX-1003	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Protein phosphatase 3 complex	complexportal:CPX-1003	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM1:PPP3CA:PPP3R1	complexportal:CPX-1003	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM2:PPP3CA:PPP3R1	complexportal:CPX-1003	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM3:PPP3CA:PPP3R1	complexportal:CPX-1003	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
PP2B complex	complexportal:CPX-1003	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CnA-CnB-Calm complex	complexportal:CPX-1003	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Calcineurin-Calmodulin complex, alpha-R1 variant	complexportal:CPX-1003	Calcineurin-Calmodulin complex, alpha-R1 variant	rdfs:label	pubmed:11015619,pubmed:11123943,pubmed:15757646,pubmed:17640527,pubmed:18296442,pubmed:18384083,pubmed:19404396,pubmed:22343722,pubmed:22688515,pubmed:25144868,pubmed:27597899,pubmed:8524402,pubmed:8631904,pubmed:9660947	complexportal
ADA2A-containing complex	complexportal:CPX-1004	PCAF-containing ATAC complex	oboInOwl:hasRelatedSynonym		complexportal
Ada2/PCAF/Ada3 transcription activator complex	complexportal:CPX-1004	PCAF-containing ATAC complex	oboInOwl:hasRelatedSynonym		complexportal
KAT2B-containing ATAC complex	complexportal:CPX-1004	PCAF-containing ATAC complex	oboInOwl:hasRelatedSynonym		complexportal
ATAC complex	complexportal:CPX-1004	PCAF-containing ATAC complex	oboInOwl:hasRelatedSynonym		complexportal
P-ATAC complex	complexportal:CPX-1004	PCAF-containing ATAC complex	oboInOwl:hasRelatedSynonym		complexportal
Ada two A containing complex	complexportal:CPX-1004	PCAF-containing ATAC complex	oboInOwl:hasRelatedSynonym		complexportal
PCAF-containing ATAC complex	complexportal:CPX-1004	PCAF-containing ATAC complex	rdfs:label	pubmed:18838386,pubmed:19103755,pubmed:19936620,pubmed:20562830,pubmed:22055187,pubmed:26468280	complexportal
IL1F4-IL18R1-IL18RAP	complexportal:CPX-10041	Interleukin-18 receptor-ligand complex	oboInOwl:hasRelatedSynonym		complexportal
IGIF-IL1RRP-IL1R7	complexportal:CPX-10041	Interleukin-18 receptor-ligand complex	oboInOwl:hasRelatedSynonym		complexportal
Interleukin-18 receptor-ligand complex	complexportal:CPX-10041	Interleukin-18 receptor-ligand complex	rdfs:label	pubmed:24115947,pubmed:25500532,pubmed:35398099,pubmed:37993714	complexportal
CRISPR associated complex for antiviral defence	complexportal:CPX-1005	Cascade complex	oboInOwl:hasRelatedSynonym		complexportal
Cascade complex	complexportal:CPX-1005	Cascade complex	rdfs:label	pubmed:25118175,pubmed:26863189,pubmed:27672148	complexportal
Akap5:Calm1:Ppp3cb:Ppp3r1	complexportal:CPX-1006	Calcineurin-Calmodulin-AKAP5 complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Akap5:Calm2:Ppp3cb:Ppp3r1	complexportal:CPX-1006	Calcineurin-Calmodulin-AKAP5 complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Akap5:Calm3:Ppp3cb:Ppp3r1	complexportal:CPX-1006	Calcineurin-Calmodulin-AKAP5 complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Calcineurin - AKAP79 complex	complexportal:CPX-1006	Calcineurin-Calmodulin-AKAP5 complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CN - AKAP5 complex, beta variant	complexportal:CPX-1006	Calcineurin-Calmodulin-AKAP5 complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
PP2B - AKAP5 complex, beta variant	complexportal:CPX-1006	Calcineurin-Calmodulin-AKAP5 complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Calcineurin-Calmodulin-AKAP5 complex, beta-R1 variant	complexportal:CPX-1006	Calcineurin-Calmodulin-AKAP5 complex, beta-R1 variant	rdfs:label	pubmed:11015619	complexportal
Oligosaccharyltransferase complex	complexportal:CPX-10061	Oligosaccharyltransferase complex	rdfs:label	pubmed:10234787	complexportal
CALM2:PPP3CC:PPP3R1	complexportal:CPX-1007	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM3:PPP3CC:PPP3R1	complexportal:CPX-1007	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
PP2BC-CANB1-CALM complex	complexportal:CPX-1007	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Protein phosphatase 2B complex	complexportal:CPX-1007	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
PP2B complex	complexportal:CPX-1007	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CnA-CnB-Calm complex	complexportal:CPX-1007	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Protein phosphatase 3 complex	complexportal:CPX-1007	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM1:PPP3CC:PPP3R1	complexportal:CPX-1007	Calcineurin-Calmodulin complex, gamma-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Calcineurin-Calmodulin complex, gamma-R1 variant	complexportal:CPX-1007	Calcineurin-Calmodulin complex, gamma-R1 variant	rdfs:label	pubmed:11015619,pubmed:11123943,pubmed:15757646,pubmed:17640527,pubmed:18296442,pubmed:22343722,pubmed:22688515,pubmed:27597899,pubmed:8631904,pubmed:9660947	complexportal
Protein phosphatase 3 complex	complexportal:CPX-1008	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
PP2BB-CANB2-CALM complex	complexportal:CPX-1008	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
PP2B complex	complexportal:CPX-1008	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
Protein phosphatase 2B complex	complexportal:CPX-1008	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
CnA-CnB-Calm complex	complexportal:CPX-1008	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM1:PPP3CB:PPP3R2	complexportal:CPX-1008	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM2:PPP3CB:PPP3R2	complexportal:CPX-1008	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM3:PPP3CB:PPP3R2	complexportal:CPX-1008	Calcineurin-Calmodulin complex, beta-R2 variant	oboInOwl:hasRelatedSynonym		complexportal
Calcineurin-Calmodulin complex, beta-R2 variant	complexportal:CPX-1008	Calcineurin-Calmodulin complex, beta-R2 variant	rdfs:label	pubmed:11015619,pubmed:11123943,pubmed:15757646,pubmed:16648474,pubmed:17640527,pubmed:18296442,pubmed:22343722,pubmed:22688515,pubmed:27597899,pubmed:8631904,pubmed:9660947	complexportal
DASH complex	complexportal:CPX-10081	DASH complex	rdfs:label	pubmed:16079914,pubmed:17035632	complexportal
Protein phosphatase 2B complex	complexportal:CPX-1009	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Protein phosphatase 3 complex	complexportal:CPX-1009	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
PP2BB-CANB1-CALM complex	complexportal:CPX-1009	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
PP2B complex	complexportal:CPX-1009	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM1:PPP3CB:PPP3R1	complexportal:CPX-1009	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM2:PPP3CB:PPP3R1	complexportal:CPX-1009	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM3:PPP3CB:PPP3R1	complexportal:CPX-1009	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CnA-CnB-Calm complex	complexportal:CPX-1009	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Calcineurin-Calmodulin complex, beta-R1 variant	complexportal:CPX-1009	Calcineurin-Calmodulin complex, beta-R1 variant	rdfs:label	pubmed:11015619,pubmed:11123943,pubmed:15757646,pubmed:17640527,pubmed:18296442,pubmed:22343722,pubmed:22688515,pubmed:27597899,pubmed:8631904,pubmed:9660947	complexportal
Titin-Tcap complex	complexportal:CPX-101	Titin-Telethonin complex	oboInOwl:hasRelatedSynonym		complexportal
Titin-Telethonin complex	complexportal:CPX-101	Titin-Telethonin complex	rdfs:label	pubmed:16407954,pubmed:16713295	complexportal
PP2BA-CANB1-CALM complex	complexportal:CPX-1010	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Protein phosphatase 2B complex	complexportal:CPX-1010	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Protein phosphatase 3 complex	complexportal:CPX-1010	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
PP2B complex	complexportal:CPX-1010	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM1:PPP3CA:PPP3R1	complexportal:CPX-1010	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM2:PPP3CA:PPP3R1	complexportal:CPX-1010	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM3:PPP3CA:PPP3R1	complexportal:CPX-1010	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CnA-CnB-Calm complex	complexportal:CPX-1010	Calcineurin-Calmodulin complex, alpha-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Calcineurin-Calmodulin complex, alpha-R1 variant	complexportal:CPX-1010	Calcineurin-Calmodulin complex, alpha-R1 variant	rdfs:label	pubmed:11015619,pubmed:11123943,pubmed:15757646,pubmed:17640527,pubmed:18296442,pubmed:22343722,pubmed:22688515,pubmed:27597899,pubmed:8631904,pubmed:9660947	complexportal
IL1F4-IL18BP complex	complexportal:CPX-10101	Interleukin-18 decoy complex	oboInOwl:hasRelatedSynonym		complexportal
IGIF-IL18BP complex	complexportal:CPX-10101	Interleukin-18 decoy complex	oboInOwl:hasRelatedSynonym		complexportal
Interleukin-18 decoy complex	complexportal:CPX-10101	Interleukin-18 decoy complex	rdfs:label	pubmed:24115947,pubmed:25500532,pubmed:35398099,pubmed:37993714	complexportal
Protein phosphatase 2B complex	complexportal:CPX-1011	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Protein phosphatase 3 complex	complexportal:CPX-1011	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
PP2B complex	complexportal:CPX-1011	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
PP2BB-CANB1-CALM complex	complexportal:CPX-1011	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM1:PPP3CB:PPP3R1	complexportal:CPX-1011	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM2:PPP3CB:PPP3R1	complexportal:CPX-1011	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CALM3:PPP3CB:PPP3R1	complexportal:CPX-1011	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
CnA-CnB-Calm complex	complexportal:CPX-1011	Calcineurin-Calmodulin complex, beta-R1 variant	oboInOwl:hasRelatedSynonym		complexportal
Calcineurin-Calmodulin complex, beta-R1 variant	complexportal:CPX-1011	Calcineurin-Calmodulin complex, beta-R1 variant	rdfs:label	pubmed:11015619,pubmed:11123943,pubmed:15757646,pubmed:17640527,pubmed:18296442,pubmed:22343722,pubmed:22688515,pubmed:27597899,pubmed:8631904,pubmed:9660947	complexportal
Tenascin W complex	complexportal:CPX-1012	Tenascin-W complex	oboInOwl:hasRelatedSynonym		complexportal
Tenascin-W complex	complexportal:CPX-1012	Tenascin-W complex	rdfs:label	pubmed:12812753,pubmed:12845616,pubmed:17909022,pubmed:19884327,pubmed:20541035,pubmed:25793574	complexportal
Glycosylphosphatidylinositol-N-acetylglucosaminyltransferase complex	complexportal:CPX-10121	Glycosylphosphatidylinositol-N-acetylglucosaminyltransferase complex	rdfs:label	pubmed:26474840	complexportal
Tenascin W complex	complexportal:CPX-1013	Tenascin-W complex	oboInOwl:hasRelatedSynonym		complexportal
Tenascin-W complex	complexportal:CPX-1013	Tenascin-W complex	rdfs:label	pubmed:12812753,pubmed:12845616,pubmed:14709716,pubmed:17395156,pubmed:20541035,pubmed:25793574	complexportal
Tenascin X complex	complexportal:CPX-1014	Tenascin-X complex	oboInOwl:hasRelatedSynonym		complexportal
TNX complex	complexportal:CPX-1014	Tenascin-X complex	oboInOwl:hasRelatedSynonym		complexportal
TN-X complex	complexportal:CPX-1014	Tenascin-X complex	oboInOwl:hasRelatedSynonym		complexportal
Flexilin complex	complexportal:CPX-1014	Tenascin-X complex	oboInOwl:hasRelatedSynonym		complexportal
Tenascin-X complex	complexportal:CPX-1014	Tenascin-X complex	rdfs:label	pubmed:17033827,pubmed:25793574,pubmed:25793578	complexportal
GPI-anchor transamidase complex	complexportal:CPX-10141	GPI-anchor transamidase complex	rdfs:label	pubmed:15003443	complexportal
MET4-MET28-MET32 sulfur metabolism transcription factor complex 	complexportal:CPX-1015	MET4-MET28-MET32 sulfur metabolism transcription factor complex 	rdfs:label		complexportal
CBF1-MET4-MET28 sulfur metabolism transcription factor complex 	complexportal:CPX-1016	CBF1-MET4-MET28 sulfur metabolism transcription factor complex 	rdfs:label		complexportal
Interleukin-16 receptor-ligand complex	complexportal:CPX-10161	Interleukin-16 receptor-ligand complex	rdfs:label	pubmed:10809960,pubmed:27231345,pubmed:9422780,pubmed:9699630	complexportal
Microbicidal nicotinamide adenine dinucleotide phosphate (NADPH) oxidase complex complex	complexportal:CPX-1017	Phagocyte NADPH oxidase complex, RAC1 variant	oboInOwl:hasRelatedSynonym		complexportal
Phagocyte NADPH oxidase complex, RAC1 variant	complexportal:CPX-1017	Phagocyte NADPH oxidase complex, RAC1 variant	rdfs:label	pubmed:16326715,pubmed:24598074,pubmed:27048830	complexportal
Aminophospholipid translocase complex	complexportal:CPX-1018	DRS2-CDC50 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
APLT complex	complexportal:CPX-1018	DRS2-CDC50 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
DRS2-CDC50 phospholipid flippase complex	complexportal:CPX-1018	DRS2-CDC50 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
DRS2-CDC50 P4-ATPase complex	complexportal:CPX-1018	DRS2-CDC50 P4-ATPase complex	rdfs:label	pubmed:27458383	complexportal
Vault ribonucleoprotein complex	complexportal:CPX-10181	Vault ribonucleoprotein complex	rdfs:label	pubmed:10864046,pubmed:33572350,pubmed:37692527,pubmed:38612882	complexportal
Restrictin complex	complexportal:CPX-1019	Tenascin-R complex	oboInOwl:hasRelatedSynonym		complexportal
Janusin complex	complexportal:CPX-1019	Tenascin-R complex	oboInOwl:hasRelatedSynonym		complexportal
J1-160 complex	complexportal:CPX-1019	Tenascin-R complex	oboInOwl:hasRelatedSynonym		complexportal
J1-180 complex	complexportal:CPX-1019	Tenascin-R complex	oboInOwl:hasRelatedSynonym		complexportal
J1-160/J1-180 complex	complexportal:CPX-1019	Tenascin-R complex	oboInOwl:hasRelatedSynonym		complexportal
J1-160/180 complex	complexportal:CPX-1019	Tenascin-R complex	oboInOwl:hasRelatedSynonym		complexportal
Tenascin-R complex	complexportal:CPX-1019	Tenascin-R complex	rdfs:label	pubmed:10748320,pubmed:22634605,pubmed:25131780,pubmed:25793574	complexportal
Death-associated protein kinase 1 - calmodulin complex	complexportal:CPX-102	DAPK1 - calmodulin complex	oboInOwl:hasRelatedSynonym		complexportal
DAPK1 - calmodulin complex	complexportal:CPX-102	DAPK1 - calmodulin complex	rdfs:label		complexportal
BLI-3/DOXA-1/TSP-15 dual oxidase complex	complexportal:CPX-1020	BLI-3/DOXA-1/TSP-15 dual oxidase complex	rdfs:label	pubmed:11514595,pubmed:23028364	complexportal
Mre11 complex	complexportal:CPX-10201	MRN double-strand break repair complex	oboInOwl:hasRelatedSynonym		complexportal
Mre11-Rad50-Nbs1 complex	complexportal:CPX-10201	MRN double-strand break repair complex	oboInOwl:hasRelatedSynonym		complexportal
MRN double-strand break repair complex	complexportal:CPX-10201	MRN double-strand break repair complex	rdfs:label	pubmed:19520832,pubmed:33556205	complexportal
DNF1-LEM3 phospholipid flippase complex	complexportal:CPX-1021	DNF1-LEM3 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
LEM3-DNF1 complex	complexportal:CPX-1021	DNF1-LEM3 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
Aminophospholipid translocase complex	complexportal:CPX-1021	DNF1-LEM3 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
APLT complex	complexportal:CPX-1021	DNF1-LEM3 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
DNF1-LEM3 P4-ATPase complex	complexportal:CPX-1021	DNF1-LEM3 P4-ATPase complex	rdfs:label	pubmed:27458383	complexportal
DNF2-LEM3 phospholipid flippase complex	complexportal:CPX-1022	DNF2-LEM3 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
LEM3-DNF2 complex	complexportal:CPX-1022	DNF2-LEM3 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
Aminophospholipid translocase complex	complexportal:CPX-1022	DNF2-LEM3 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
APLT complex	complexportal:CPX-1022	DNF2-LEM3 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
DNF2-LEM3 P4-ATPase complex	complexportal:CPX-1022	DNF2-LEM3 P4-ATPase complex	rdfs:label	pubmed:27458383	complexportal
ZMDA1-IL20RA-DIRS1 complex	complexportal:CPX-10221	Interleukin-19 receptor-ligand complex	oboInOwl:hasRelatedSynonym		complexportal
Interleukin-19 receptor-ligand complex	complexportal:CPX-10221	Interleukin-19 receptor-ligand complex	rdfs:label	pubmed:12351624,pubmed:14580208,pubmed:16365913,pubmed:29681905,pubmed:33776998,pubmed:34932373	complexportal
Jbp1:Clns1a:Wdr77 complex	complexportal:CPX-1023	Methylosome	oboInOwl:hasRelatedSynonym		complexportal
Hrmt1l5:Clns1a:Wdr77 complex	complexportal:CPX-1023	Methylosome	oboInOwl:hasRelatedSynonym		complexportal
Ibp72:Clns1a:Wdr77 complex	complexportal:CPX-1023	Methylosome	oboInOwl:hasRelatedSynonym		complexportal
Skb1:Clns1a:Wdr77 complex	complexportal:CPX-1023	Methylosome	oboInOwl:hasRelatedSynonym		complexportal
Prmt5:ClcI:Wdr77 complex	complexportal:CPX-1023	Methylosome	oboInOwl:hasRelatedSynonym		complexportal
Prmt5:Icln:Wdr77 complex	complexportal:CPX-1023	Methylosome	oboInOwl:hasRelatedSynonym		complexportal
Prmt5:Clns1a:Mep50 complex	complexportal:CPX-1023	Methylosome	oboInOwl:hasRelatedSynonym		complexportal
Prmt5:Clns1a:Wd45 complex	complexportal:CPX-1023	Methylosome	oboInOwl:hasRelatedSynonym		complexportal
20S methylosome	complexportal:CPX-1023	Methylosome	oboInOwl:hasRelatedSynonym		complexportal
20S Prmt5-containing methyltransferase complex	complexportal:CPX-1023	Methylosome	oboInOwl:hasRelatedSynonym		complexportal
Methylosome	complexportal:CPX-1023	Methylosome	rdfs:label	pubmed:11756452	complexportal
p300/cbp associated factor complex	complexportal:CPX-1024	PCAF histone acetylase complex	oboInOwl:hasRelatedSynonym		complexportal
PCAF histone acetylase complex	complexportal:CPX-1024	PCAF histone acetylase complex	rdfs:label	pubmed:10637607,pubmed:17694077,pubmed:9674425,pubmed:9880483,pubmed:9885574	complexportal
ZCYTO10- IL20RA-IL20RB complex	complexportal:CPX-10241	Interleukin-20 receptor-ligand Type 1 complex	oboInOwl:hasRelatedSynonym		complexportal
IL20-IL20RA-DIRS1 complex	complexportal:CPX-10241	Interleukin-20 receptor-ligand Type 1 complex	oboInOwl:hasRelatedSynonym		complexportal
Interleukin-20 receptor-ligand Type 1 complex	complexportal:CPX-10241	Interleukin-20 receptor-ligand Type 1 complex	rdfs:label	pubmed:20864382,pubmed:22802649,pubmed:25421700,pubmed:30260500,pubmed:30319661	complexportal
Ada2a-containing complex	complexportal:CPX-1025	GCN5-containing ATAC complex	oboInOwl:hasRelatedSynonym		complexportal
Ada2/Gcn5/Ada3 transcription activator complex	complexportal:CPX-1025	GCN5-containing ATAC complex	oboInOwl:hasRelatedSynonym		complexportal
Kat2a-containing ATAC complex	complexportal:CPX-1025	GCN5-containing ATAC complex	oboInOwl:hasRelatedSynonym		complexportal
ATAC complex	complexportal:CPX-1025	GCN5-containing ATAC complex	oboInOwl:hasRelatedSynonym		complexportal
G-ATAC complex	complexportal:CPX-1025	GCN5-containing ATAC complex	oboInOwl:hasRelatedSynonym		complexportal
Ada two A containing complex	complexportal:CPX-1025	GCN5-containing ATAC complex	oboInOwl:hasRelatedSynonym		complexportal
GCN5-containing ATAC complex	complexportal:CPX-1025	GCN5-containing ATAC complex	rdfs:label	pubmed:18838386,pubmed:19103755,pubmed:19936620,pubmed:20562830,pubmed:22055187,pubmed:26468280	complexportal
DNF3-CRF1 phospholipid flippase complex	complexportal:CPX-1026	DNF3-CRF1 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
CRF1-DNF3 complex	complexportal:CPX-1026	DNF3-CRF1 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
Aminophospholipid translocase complex	complexportal:CPX-1026	DNF3-CRF1 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
APLT complex	complexportal:CPX-1026	DNF3-CRF1 P4-ATPase complex	oboInOwl:hasRelatedSynonym		complexportal
