text	curie	name	predicate	type	provenance	source
BLOC2S	hgnc.genegroup:1038	Biogenesis of lysosomal organelles complex 2 	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Biogenesis of lysosomal organelles complex 2 	hgnc.genegroup:1038	Biogenesis of lysosomal organelles complex 2 	rdfs:label		pubmed:15030569	hgnc.genegroup
BLOC3S	hgnc.genegroup:1039	Biogenesis of lysosomal organelles complex 3 	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Biogenesis of lysosomal organelles complex 3 	hgnc.genegroup:1039	Biogenesis of lysosomal organelles complex 3 	rdfs:label		pubmed:12663659	hgnc.genegroup
Aminopeptidases	hgnc.genegroup:104	Aminopeptidases	rdfs:label			hgnc.genegroup
LAMTOR	hgnc.genegroup:1040	Ragulator complex 	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Ragulator complex 	hgnc.genegroup:1040	Ragulator complex 	rdfs:label		pubmed:22980980	hgnc.genegroup
CTD family phosphatases	hgnc.genegroup:1041	CTD family phosphatases	rdfs:label		pubmed:22607316	hgnc.genegroup
NT5	hgnc.genegroup:1042	5'-nucleotidases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
5'-nucleotidases	hgnc.genegroup:1042	5'-nucleotidases	rdfs:label			hgnc.genegroup
LPIN	hgnc.genegroup:1043	Lipins	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Lipins	hgnc.genegroup:1043	Lipins	rdfs:label		pubmed:23603613	hgnc.genegroup
EYA	hgnc.genegroup:1044	EYA transcriptional coactivator and phosphatases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
EYA transcriptional coactivator and phosphatases	hgnc.genegroup:1044	EYA transcriptional coactivator and phosphatases	rdfs:label		pubmed:17341163	hgnc.genegroup
HAD Asp-based non-protein phosphatases	hgnc.genegroup:1045	HAD Asp-based non-protein phosphatases	rdfs:label		pubmed:22607316	hgnc.genegroup
Cellular communication network factors	hgnc.genegroup:1046	Cellular communication network factors	rdfs:label		pubmed:26157362	hgnc.genegroup
BORCS	hgnc.genegroup:1048	BLOC-1 related complex subunits	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
BLOC-1 related complex subunits	hgnc.genegroup:1048	BLOC-1 related complex subunits	rdfs:label		pubmed:25898167	hgnc.genegroup
RECQL	hgnc.genegroup:1049	RecQ like helicases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
RecQ like helicases	hgnc.genegroup:1049	RecQ like helicases	rdfs:label		pubmed:24606147	hgnc.genegroup
YIPF	hgnc.genegroup:105	Yip1 domain containing	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Yip1 domain containing	hgnc.genegroup:105	Yip1 domain containing	rdfs:label		pubmed:27999994	hgnc.genegroup
TOP	hgnc.genegroup:1050	Topoisomerases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Topoisomerases	hgnc.genegroup:1050	Topoisomerases	rdfs:label		pubmed:11395412	hgnc.genegroup
NUP	hgnc.genegroup:1051	Nucleoporins	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Nucleoporins	hgnc.genegroup:1051	Nucleoporins	rdfs:label		pubmed:21495847	hgnc.genegroup
IGLON	hgnc.genegroup:1052	IgLON cell adhesion molecules	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
IgLON cell adhesion molecules	hgnc.genegroup:1052	IgLON cell adhesion molecules	rdfs:label			hgnc.genegroup
YWHA	hgnc.genegroup:1053	14-3-3 phospho-serine/phospho-threonine binding proteins	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
14-3-3 phospho-serine/phospho-threonine binding proteins	hgnc.genegroup:1053	14-3-3 phospho-serine/phospho-threonine binding proteins	rdfs:label			hgnc.genegroup
Ribosomal proteins	hgnc.genegroup:1054	Ribosomal proteins	rdfs:label			hgnc.genegroup
EXOC	hgnc.genegroup:1055	Exocyst complex	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Exocyst complex	hgnc.genegroup:1055	Exocyst complex	rdfs:label			hgnc.genegroup
TRAF	hgnc.genegroup:1056	TNF receptor associated factors	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
TNF receptor associated factors	hgnc.genegroup:1056	TNF receptor associated factors	rdfs:label		pubmed:30214450	hgnc.genegroup
BCL2	hgnc.genegroup:1057	BCL2 family	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
BCL2 family	hgnc.genegroup:1057	BCL2 family	rdfs:label			hgnc.genegroup
ATAC	hgnc.genegroup:1058	ATAC complex	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
ATAC complex	hgnc.genegroup:1058	ATAC complex	rdfs:label		pubmed:22426530	hgnc.genegroup
SAGA complex	hgnc.genegroup:1059	SAGA complex	rdfs:label		pubmed:22426530	hgnc.genegroup
YBX	hgnc.genegroup:106	Y-box binding proteins	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Y-box binding proteins	hgnc.genegroup:106	Y-box binding proteins	rdfs:label		pubmed:32290447	hgnc.genegroup
Cohesin complex	hgnc.genegroup:1060	Cohesin complex	rdfs:label		pubmed:23831059	hgnc.genegroup
MED	hgnc.genegroup:1061	Mediator complex	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Mediator complex	hgnc.genegroup:1061	Mediator complex	rdfs:label		pubmed:24550107	hgnc.genegroup
GOLD domain containing	hgnc.genegroup:1062	GOLD domain containing	rdfs:label		pubmed:12049664	hgnc.genegroup
SEC14	hgnc.genegroup:1063	SEC14 family	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
SEC14 family	hgnc.genegroup:1063	SEC14 family	rdfs:label			hgnc.genegroup
TMED	hgnc.genegroup:1064	Transmembrane p24 trafficking proteins	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Transmembrane p24 trafficking proteins	hgnc.genegroup:1064	Transmembrane p24 trafficking proteins	rdfs:label		pubmed:26224213	hgnc.genegroup
IGFBP	hgnc.genegroup:1065	Insulin like growth factor binding proteins	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Insulin like growth factor binding proteins	hgnc.genegroup:1065	Insulin like growth factor binding proteins	rdfs:label		pubmed:21505050	hgnc.genegroup
Lipid phosphatases	hgnc.genegroup:1066	Lipid phosphatases	rdfs:label			hgnc.genegroup
PLPP	hgnc.genegroup:1067	Phospholipid phosphatases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Phospholipid phosphatases	hgnc.genegroup:1067	Phospholipid phosphatases	rdfs:label			hgnc.genegroup
SGPP	hgnc.genegroup:1070	Sphingosine-1-phosphate phosphatases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Sphingosine-1-phosphate phosphatases	hgnc.genegroup:1070	Sphingosine-1-phosphate phosphatases	rdfs:label			hgnc.genegroup
ACP	hgnc.genegroup:1071	Acid phosphatases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Acid phosphatases	hgnc.genegroup:1071	Acid phosphatases	rdfs:label			hgnc.genegroup
ALP	hgnc.genegroup:1072	Alkaline phosphatases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Alkaline phosphatases	hgnc.genegroup:1072	Alkaline phosphatases	rdfs:label			hgnc.genegroup
Sugar phosphatases	hgnc.genegroup:1073	Sugar phosphatases	rdfs:label			hgnc.genegroup
G6PC	hgnc.genegroup:1074	Glucose 6-phosphatases, catalytic	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Glucose 6-phosphatases, catalytic	hgnc.genegroup:1074	Glucose 6-phosphatases, catalytic	rdfs:label			hgnc.genegroup
FBP	hgnc.genegroup:1075	Fructose-1,6-bisphosphatases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Fructose-1,6-bisphosphatases	hgnc.genegroup:1075	Fructose-1,6-bisphosphatases	rdfs:label			hgnc.genegroup
Phosphatases	hgnc.genegroup:1076	Phosphatases	rdfs:label			hgnc.genegroup
PFKFB	hgnc.genegroup:1077	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
6-phosphofructo-2-kinases/fructose-2,6-biphosphatases	hgnc.genegroup:1077	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases	rdfs:label		pubmed:7574501	hgnc.genegroup
PGAM	hgnc.genegroup:1078	Phosphoglycerate mutases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Phosphoglycerate mutases	hgnc.genegroup:1078	Phosphoglycerate mutases	rdfs:label			hgnc.genegroup
Phosphoinositide phosphatases	hgnc.genegroup:1079	Phosphoinositide phosphatases	rdfs:label		pubmed:23351377,pubmed:25264170	hgnc.genegroup
Bisphosphoglycerate phosphatases	hgnc.genegroup:1082	Bisphosphoglycerate phosphatases	rdfs:label			hgnc.genegroup
HAD Asp-based phosphatases	hgnc.genegroup:1083	HAD Asp-based phosphatases	rdfs:label		pubmed:22607316	hgnc.genegroup
Golgins	hgnc.genegroup:1084	Golgins	rdfs:label		pubmed:21436057	hgnc.genegroup
MCM	hgnc.genegroup:1085	MCM family	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
MCM family	hgnc.genegroup:1085	MCM family	rdfs:label		pubmed:26222030	hgnc.genegroup
MADS box family	hgnc.genegroup:1086	MADS box family	rdfs:label		pubmed:20724380	hgnc.genegroup
LEMD	hgnc.genegroup:1087	LEM domain containing	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
LEM domain containing	hgnc.genegroup:1087	LEM domain containing	rdfs:label		pubmed:25863918	hgnc.genegroup
SPIN	hgnc.genegroup:1089	Spindlin family	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Spindlin family	hgnc.genegroup:1089	Spindlin family	rdfs:label		pubmed:29061846	hgnc.genegroup
ACKR	hgnc.genegroup:1090	Atypical chemokine receptors	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Atypical chemokine receptors	hgnc.genegroup:1090	Atypical chemokine receptors	rdfs:label		pubmed:21295066,pubmed:24218476	hgnc.genegroup
CCR	hgnc.genegroup:1091	C-C motif chemokine receptors	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
C-C motif chemokine receptors	hgnc.genegroup:1091	C-C motif chemokine receptors	rdfs:label		pubmed:21295066,pubmed:24218476	hgnc.genegroup
XCR	hgnc.genegroup:1092	X-C motif chemokine receptors	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
X-C motif chemokine receptors	hgnc.genegroup:1092	X-C motif chemokine receptors	rdfs:label		pubmed:21295066,pubmed:24218476	hgnc.genegroup
CX3CR	hgnc.genegroup:1093	C-X-3-C motif chemokine receptors	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
C-X-3-C motif chemokine receptors	hgnc.genegroup:1093	C-X-3-C motif chemokine receptors	rdfs:label		pubmed:21295066,pubmed:24218476	hgnc.genegroup
CXCR	hgnc.genegroup:1094	C-X-C motif chemokine receptors	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
C-X-C motif chemokine receptors	hgnc.genegroup:1094	C-X-C motif chemokine receptors	rdfs:label		pubmed:21295066,pubmed:24218476	hgnc.genegroup
EPH	hgnc.genegroup:1095	EPH receptors	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
EPH receptors	hgnc.genegroup:1095	EPH receptors	rdfs:label			hgnc.genegroup
ERBB	hgnc.genegroup:1096	Erb-b2 receptor tyrosine kinases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Erb-b2 receptor tyrosine kinases	hgnc.genegroup:1096	Erb-b2 receptor tyrosine kinases	rdfs:label			hgnc.genegroup
MYO1	hgnc.genegroup:1097	Myosin heavy chains, class I	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Myosin heavy chains, class I	hgnc.genegroup:1097	Myosin heavy chains, class I	rdfs:label		pubmed:15037306	hgnc.genegroup
MYH	hgnc.genegroup:1098	Myosin heavy chains, class II	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Myosin heavy chains, class II	hgnc.genegroup:1098	Myosin heavy chains, class II	rdfs:label		pubmed:15037306	hgnc.genegroup
MYO3	hgnc.genegroup:1099	Myosin heavy chains, class III	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Myosin heavy chains, class III	hgnc.genegroup:1099	Myosin heavy chains, class III	rdfs:label		pubmed:25822849	hgnc.genegroup
MYO5	hgnc.genegroup:1100	Myosin heavy chains, class V	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Myosin heavy chains, class V	hgnc.genegroup:1100	Myosin heavy chains, class V	rdfs:label		pubmed:15037306	hgnc.genegroup
MYO6	hgnc.genegroup:1101	Myosin heavy chains, class VI	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Myosin heavy chains, class VI	hgnc.genegroup:1101	Myosin heavy chains, class VI	rdfs:label		pubmed:17956731	hgnc.genegroup
MYO7	hgnc.genegroup:1102	Myosin heavy chains, class VII	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Myosin heavy chains, class VII	hgnc.genegroup:1102	Myosin heavy chains, class VII	rdfs:label			hgnc.genegroup
MYO9	hgnc.genegroup:1103	Myosin heavy chains, class IX	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Myosin heavy chains, class IX	hgnc.genegroup:1103	Myosin heavy chains, class IX	rdfs:label			hgnc.genegroup
MYO10	hgnc.genegroup:1104	Myosin heavy chains, class X	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Myosin heavy chains, class X	hgnc.genegroup:1104	Myosin heavy chains, class X	rdfs:label			hgnc.genegroup
MYO15	hgnc.genegroup:1105	Myosin heavy chains, class XV	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Myosin heavy chains, class XV	hgnc.genegroup:1105	Myosin heavy chains, class XV	rdfs:label			hgnc.genegroup
MYO16	hgnc.genegroup:1106	Myosin heavy chains, class XVI	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Myosin heavy chains, class XVI	hgnc.genegroup:1106	Myosin heavy chains, class XVI	rdfs:label			hgnc.genegroup
MYO18	hgnc.genegroup:1107	Myosin heavy chains, class XVIII	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Myosin heavy chains, class XVIII	hgnc.genegroup:1107	Myosin heavy chains, class XVIII	rdfs:label			hgnc.genegroup
MYO19	hgnc.genegroup:1108	Myosin heavy chains, class XIX	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Myosin heavy chains, class XIX	hgnc.genegroup:1108	Myosin heavy chains, class XIX	rdfs:label			hgnc.genegroup
KRT	hgnc.genegroup:1109	Keratins	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Keratins	hgnc.genegroup:1109	Keratins	rdfs:label			hgnc.genegroup
SLFN	hgnc.genegroup:1110	Schlafen family	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Schlafen family	hgnc.genegroup:1110	Schlafen family	rdfs:label		pubmed:19619625	hgnc.genegroup
ESCRT complexes	hgnc.genegroup:1111	ESCRT complexes	rdfs:label		pubmed:24456136	hgnc.genegroup
ACTN	hgnc.genegroup:1112	Actinins	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Actinins	hgnc.genegroup:1112	Actinins	rdfs:label		pubmed:26312134	hgnc.genegroup
SPT	hgnc.genegroup:1113	Spectrins	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Spectrins	hgnc.genegroup:1113	Spectrins	rdfs:label			hgnc.genegroup
FLOT	hgnc.genegroup:1114	Flotillins	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Flotillins	hgnc.genegroup:1114	Flotillins	rdfs:label		pubmed:25413346	hgnc.genegroup
ESCRT-0	hgnc.genegroup:1115	ESCRT-0	rdfs:label			hgnc.genegroup
ESCRT-I	hgnc.genegroup:1116	ESCRT-I	rdfs:label			hgnc.genegroup
ESCRT-II	hgnc.genegroup:1117	ESCRT-II	rdfs:label			hgnc.genegroup
ESCRT-III	hgnc.genegroup:1118	ESCRT-III	rdfs:label			hgnc.genegroup
ESCRT-III associated factors	hgnc.genegroup:1119	ESCRT-III associated factors	rdfs:label			hgnc.genegroup
ESCRT-IV	hgnc.genegroup:1120	ESCRT-IV	rdfs:label			hgnc.genegroup
EIF3	hgnc.genegroup:1121	Eukaryotic translation initiation factor 3	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Eukaryotic translation initiation factor 3	hgnc.genegroup:1121	Eukaryotic translation initiation factor 3	rdfs:label			hgnc.genegroup
BBSome	hgnc.genegroup:1122	BBSome	rdfs:label		pubmed:17574030,pubmed:19549489	hgnc.genegroup
SNAREs	hgnc.genegroup:1124	SNAREs	rdfs:label		pubmed:16038056	hgnc.genegroup
XP	hgnc.genegroup:1125	Xeroderma pigmentosum complementation groups	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Xeroderma pigmentosum complementation groups	hgnc.genegroup:1125	Xeroderma pigmentosum complementation groups	rdfs:label		pubmed:22217736	hgnc.genegroup
Phospholipid phosphatase superfamily	hgnc.genegroup:1126	Phospholipid phosphatase superfamily	rdfs:label			hgnc.genegroup
PLPPR	hgnc.genegroup:1127	Phospholipid phosphatase related	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Phospholipid phosphatase related	hgnc.genegroup:1127	Phospholipid phosphatase related	rdfs:label			hgnc.genegroup
YPEL	hgnc.genegroup:1130	Yippee like family	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Yippee like family	hgnc.genegroup:1130	Yippee like family	rdfs:label		pubmed:15556292	hgnc.genegroup
GEMIN	hgnc.genegroup:1131	Gemins	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Gemins	hgnc.genegroup:1131	Gemins	rdfs:label		pubmed:20954180	hgnc.genegroup
NAT	hgnc.genegroup:1132	N-acetyltransferases	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
N-acetyltransferases	hgnc.genegroup:1132	N-acetyltransferases	rdfs:label			hgnc.genegroup
Arylamine N-acetyltransferases	hgnc.genegroup:1133	Arylamine N-acetyltransferases	rdfs:label		pubmed:22776642	hgnc.genegroup
GCN5 related N-acetyltransferases	hgnc.genegroup:1134	GCN5 related N-acetyltransferases	rdfs:label		pubmed:15581578	hgnc.genegroup
TMC	hgnc.genegroup:1135	Transmembrane channel like family	oboInOwl:hasRelatedSynonym	omo:0004000		hgnc.genegroup
Transmembrane channel like family	hgnc.genegroup:1135	Transmembrane channel like family	rdfs:label		pubmed:12812529	hgnc.genegroup
