subject_id	subject_label	object_id	object_label	predicate_id	mapping_justification
zfin:ZDB-GENE-000223-14	phox2a	ncbigene:404602	phox2a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000308-1	igf2bp3	ncbigene:30967	igf2bp3	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000322-1	actc1b	ncbigene:58114	actc1b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000322-2	tnnc2.2	ncbigene:58082	tnnc2.2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000322-3	tnnt3a	ncbigene:58084	tnnt3a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000322-4	pvalb2	ncbigene:58028	pvalb2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000322-5	myhz1.1	ncbigene:58142	myhz1.1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000322-6	mylz3	ncbigene:58143	mylz3	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000323-1	tbr1b	ncbigene:58042	tbr1b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000328-2	hoxb10a	ncbigene:58056	hoxb10a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000328-3	fzd8a	ncbigene:58073	fzd8a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000328-4	fzd8b	ncbigene:58072	fzd8b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000328-5	hoxc9a	ncbigene:58043	hoxc9a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-1	actb1	ncbigene:57934	actb1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-10	or42c2	ncbigene:58103	or42c2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-12	or30bt4	ncbigene:58121	or30bt4	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-13	or30bt1	ncbigene:58111	or30bt1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-14	or42c1	ncbigene:58115	or42c1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-15	or42c4	ncbigene:58104	or42c4	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-16	or42e1	ncbigene:58116	or42e1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-2	hoxb7a	ncbigene:58044	hoxb7a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-3	actb2	ncbigene:57935	actb2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-4	notch2	ncbigene:58065	notch2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-5	notch3	ncbigene:58066	notch3	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-9	actn3a	ncbigene:58037	actn3a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000330-2	trpc4apb	ncbigene:58089	trpc4apb	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000330-3	trpc4apa	ncbigene:58090	trpc4apa	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000330-4	stx1b	ncbigene:58038	stx1b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000330-5	cdc25b	ncbigene:57925	cdc25b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000330-7	blcap	ncbigene:57918	blcap	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000330-8	coil	ncbigene:58024	coil	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000330-9	psen2	ncbigene:58026	psen2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000403-1	axin1	ncbigene:57931	axin1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000403-2	axin2	ncbigene:58080	axin2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000405-1	pbx1a	ncbigene:58138	pbx1a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000405-3	pbx3b	ncbigene:58140	pbx3b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000405-5	pbx2	ncbigene:58136	pbx2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000405-6	dazl	ncbigene:58039	dazl	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000406-10	ccnb1	ncbigene:58025	ccnb1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000406-3	plrdgb	ncbigene:58096	plrdgb	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000406-5	copz2	ncbigene:57969	copz2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000406-6	copz1	ncbigene:57970	copz1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000406-8	mespaa	ncbigene:58069	mespaa	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000406-9	mespba	ncbigene:58070	mespba	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000411-1	wnt4b	ncbigene:791993	wnt4b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000412-1	bdnf	ncbigene:58118	bdnf	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000426-1	fn1a	ncbigene:100005469	fn1a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000427-1	rh50	ncbigene:791729	rh50	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000427-10	spon1b	ncbigene:58029	spon1b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000427-2	mbl2	ncbigene:100008009	mbl2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000427-3	p2rx3a	ncbigene:58147	p2rx3a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000427-4	valopa	ncbigene:58109	valopa	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000427-6	her7	ncbigene:58132	her7	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000427-7	tbx20	ncbigene:57936	tbx20	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000427-9	spon1a	ncbigene:58027	spon1a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000501-1	celf1	ncbigene:58137	celf1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000501-2	celf3a	ncbigene:57922	celf3a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000502-1	bmpr1aa	ncbigene:58145	bmpr1aa	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000508-1	dct	ncbigene:58074	dct	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000509-1	bmal1a	ncbigene:58098	bmal1a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000509-2	bmal2	ncbigene:58099	bmal2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000509-3	smad3a	ncbigene:58092	smad3a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000510-1	rhebl1	ncbigene:767781	rhebl1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000511-1	hand2	ncbigene:58150	hand2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000511-2	pycard	ncbigene:57923	pycard	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000511-3	dap	ncbigene:58093	dap	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000511-4	dap1b	ncbigene:58094	dap1b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000511-6	baxa	ncbigene:58081	baxa	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000511-7	mcl1a	ncbigene:58122	mcl1a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000511-8	slc40a1	ncbigene:58153	slc40a1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000516-1	fbxw4	ncbigene:58035	fbxw4	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000517-1	fgd	ncbigene:58075	fgd	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000523-2	pou4f1	ncbigene:58057	pou4f1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000524-1	slc34a2a	ncbigene:58148	slc34a2a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000526-1	hey2	ncbigene:58146	hey2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000605-1	runx1	ncbigene:58126	runx1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000605-2	runx3	ncbigene:58127	runx3	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-1	pcdh18a	ncbigene:572532	pcdh18a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-13	sox5	ncbigene:567413	sox5	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-14	id:ibd2170	ncbigene:57950	id:ibd2170	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-16	bcl7a	ncbigene:57952	bcl7a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-21	slc7a6	ncbigene:57957	slc7a6	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-23	id:ibd5069	ncbigene:57959	id:ibd5069	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-24	id:ibd5025	ncbigene:57960	id:ibd5025	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-26	id:ibd5011	ncbigene:57962	id:ibd5011	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-29	id:ibd5038	ncbigene:57965	id:ibd5038	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-3	id:ibd1017	ncbigene:57939	id:ibd1017	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-46	id:ibd5010	ncbigene:57984	id:ibd5010	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-49	adgrl2a	ncbigene:57987	adgrl2a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-52	kat6b	ncbigene:568932	kat6b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-58	tlcd5a	ncbigene:562331	tlcd5a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-62	id:ibd5052	ncbigene:58000	id:ibd5052	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-65	evla	ncbigene:58003	evla	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-70	hey1	ncbigene:58008	hey1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-73	id:ibd1043	ncbigene:58011	id:ibd1043	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-75	noc2l	ncbigene:58013	noc2l	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-77	si:ch211-285f17.1	ncbigene:562465	si:ch211-285f17.1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-78	hccsb	ncbigene:58016	hccsb	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-8	id:ibd2908	ncbigene:57944	id:ibd2908	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-80	sv2	ncbigene:570651	sv2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-82	wwp2	ncbigene:564527	wwp2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000607-83	krt4	ncbigene:794486	krt4	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000616-1	badb	ncbigene:58100	badb	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000616-10	smx5	ncbigene:57924	smx5	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000616-11	stk19	ncbigene:57929	stk19	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000616-13	appa	ncbigene:58083	appa	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000616-14	gart	ncbigene:58141	gart	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000616-15	foxh1	ncbigene:57930	foxh1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000616-16	hsf1	ncbigene:58123	hsf1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000616-2	dedd1	ncbigene:58125	dedd1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000616-3	caspa	ncbigene:57933	caspa	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000616-4	apaf1	ncbigene:58131	apaf1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000616-5	adar	ncbigene:58119	adar	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000616-6	myf5	ncbigene:58097	myf5	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000616-8	prph2a	ncbigene:58085	prph2a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000616-9	prph2b	ncbigene:559209	prph2b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000619-1	cxcl14	ncbigene:58151	cxcl14	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000622-1	gata6	ncbigene:58076	gata6	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000626-1	tnnt2a	ncbigene:58071	tnnt2a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000627-1	fabp7a	ncbigene:58128	fabp7a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000627-2	adarb1a	ncbigene:58134	adarb1a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000629-1	rplp0	ncbigene:58101	rplp0	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000629-2	ngfb	ncbigene:58133	ngfb	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000629-3	ybx1	ncbigene:795398	ybx1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000705-1	kdrl	ncbigene:796537	kdrl	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000710-1	gpr173	ncbigene:57926	gpr173	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000710-2	gpr85	ncbigene:793299	gpr85	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000710-3	nme6	ncbigene:58120	nme6	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000710-4	zic2a	ncbigene:58077	zic2a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000710-6	mxtx2	ncbigene:58078	mxtx2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000710-7	mxtx1	ncbigene:100149566	mxtx1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000713-1	casp8	ncbigene:58022	casp8	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000804-1	per3	ncbigene:58107	per3	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000816-1	fgfr3	ncbigene:58129	fgfr3	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000822-1	hoxc6b	ncbigene:58045	hoxc6b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000822-2	hoxc1a	ncbigene:58046	hoxc1a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000822-3	hoxc11b	ncbigene:570925	hoxc11b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000822-4	hoxc13a	ncbigene:58059	hoxc13a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000822-5	hoxc13b	ncbigene:58063	hoxc13b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000822-6	hoxc12a	ncbigene:562600	hoxc12a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000823-1	hoxa9a	ncbigene:58047	hoxa9a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000823-2	hoxa9b	ncbigene:58048	hoxa9b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000823-3	hoxa3a	ncbigene:58049	hoxa3a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000823-4	hoxa4a	ncbigene:58050	hoxa4a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000823-5	hoxa1a	ncbigene:58051	hoxa1a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000823-6	hoxb5b	ncbigene:58052	hoxb5b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000823-7	hoxb6b	ncbigene:58053	hoxb6b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000823-8	hoxa11a	ncbigene:58061	hoxa11a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000823-9	hoxa5a	ncbigene:58055	hoxa5a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000828-1	scn8aa	ncbigene:58152	scn8aa	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000830-1	nkx2.4b	ncbigene:58112	nkx2.4b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000831-1	pcxb	ncbigene:58068	pcxb	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000831-2	fth1a	ncbigene:58108	fth1a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000831-3	slc3a2a	ncbigene:796322	slc3a2a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000831-4	dnajc3b	ncbigene:58154	dnajc3b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000831-5	cd81a	ncbigene:58031	cd81a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000831-6	pim2	ncbigene:58054	pim2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000901-1	cd74a	ncbigene:58113	cd74a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000906-1	sptb	ncbigene:58040	sptb	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000906-2	hspe1	ncbigene:58041	hspe1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000906-3	ctnnbip1	ncbigene:58117	ctnnbip1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000906-4	fzd9b	ncbigene:58023	fzd9b	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000920-1	edn1	ncbigene:58032	edn1	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000921-2	pdp2	ncbigene:58149	pdp2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000926-1	atoh7	ncbigene:58216	atoh7	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000928-1	fech	ncbigene:58215	fech	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-001006-1	fgf4	ncbigene:570435	fgf4	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-001019-1	robo2	ncbigene:60309	robo2	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-001020-1	hmx3a	ncbigene:60310	hmx3a	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-001030-2	pax5	ncbigene:60636	pax5	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-001030-3	pax8	ncbigene:60637	pax8	oboinowl:hasDbXref	sempav:UnspecifiedMatching
